800171,800163
800670,476654
174,754562
1,906032
882261,864601
533819,816869
95288,95299
195249,338511
511870,511876
374279,374281
486236,490721
332255,332267
108564,107169
239250,280361
60656,10707
390667,390681
293760,322856
938426,938450
783877,592196
915775,915735
667596,667575
889728,10900
651269,651286
162055,162083
658402,658437
102922,102931
401260,391279
808205,808215
38000,38953
206971,199325
224239,282965
20,530299
45,7039
118,87711
160,539732
177,538356
214,535968
549,880713
550727,802140
283438,745963
278000,268096
185586,170840
76,698674
698526,611721
65078,65116
12054,561042
759211,759088
856730,423
98821,730873
593549,870265
493222,492200
500661,498180
660988,660997
1075,890
647497,647502
513438,513419
581328,593237
551942,552020
901413,475261
250535,283500
26,527802
381,95852
398,856724
838794,838821
17,23184
5052,3743
8,37396
37430,37061
161031,161075
161086,161122
171,879203
100000,99119
623832,623799
734347,685478
312544,266397
629529,70171
750431,840752
750983,605941
759378,703306
763540,666390
847540,922499
40,871810
100,544441
3000,12776
10000,899782
902513,527280
906991,928808
907972,40829
228,464784
925275,925145
100747,93312
314893,279733
167,884971
5000,764257
20202,20242
10109,31378
32016,724336
648650,553166
944766,29534
678930,678939
